block,start,end,duration,jjas,train,eval_period
Sangrur,2017-01-27,2017-02-03,8,0,1,0
Sangrur,2017-02-05,2017-03-09,33,0,1,0
Sangrur,2017-03-11,2017-04-03,24,0,1,0
Sangrur,2017-04-06,2017-05-15,40,0,1,0
Sangrur,2017-05-17,2017-05-30,14,0,1,0
Sangrur,2017-06-01,2017-06-06,6,1,1,0
Sangrur,2017-06-11,2017-06-16,6,1,1,0
Sangrur,2017-06-21,2017-06-25,5,1,1,0
Sangrur,2017-07-01,2017-07-05,5,1,1,0
Sangrur,2017-08-11,2017-08-18,8,1,1,0
Sangrur,2017-09-08,2017-09-15,8,1,1,0
Sangrur,2017-09-17,2017-09-21,5,1,1,0
Sangrur,2017-09-27,2017-10-08,12,1,1,0
Sangrur,2017-10-10,2017-11-30,52,0,1,0
Sangrur,2017-12-06,2018-02-10,67,0,1,0
Sangrur,2018-02-13,2018-04-05,52,0,1,0
Sangrur,2018-04-11,2018-05-01,21,0,1,0
Sangrur,2018-05-10,2018-06-04,26,0,1,0
Sangrur,2018-06-11,2018-06-25,15,1,1,0
Sangrur,2018-07-06,2018-07-11,6,1,1,0
Sangrur,2018-10-04,2018-10-09,6,0,1,0
Sangrur,2018-10-12,2018-11-25,45,0,1,0
Sangrur,2018-12-01,2019-01-04,35,0,1,0
Sangrur,2019-01-06,2019-01-11,6,0,1,0
Sangrur,2019-01-13,2019-01-19,7,0,1,0
Sangrur,2019-01-23,2019-01-30,8,0,1,0
Sangrur,2019-02-01,2019-02-13,13,0,1,0
Sangrur,2019-02-21,2019-02-25,5,0,1,0
Sangrur,2019-03-05,2019-03-10,6,0,1,0
Sangrur,2019-03-14,2019-03-19,6,0,1,0
Sangrur,2019-03-21,2019-03-29,9,0,1,0
Sangrur,2019-03-31,2019-04-14,15,0,1,0
Sangrur,2019-04-18,2019-05-09,22,0,1,0
Sangrur,2019-05-16,2019-05-22,7,0,1,0
Sangrur,2019-05-25,2019-06-10,17,0,1,0
Sangrur,2019-06-13,2019-06-30,18,1,1,0
Sangrur,2019-08-06,2019-08-10,5,1,1,0
Sangrur,2019-10-08,2019-11-06,30,0,1,0
Sangrur,2019-11-08,2019-11-14,7,0,1,0
Sangrur,2019-11-16,2019-11-22,7,0,1,0
Sangrur,2019-11-28,2019-12-11,14,0,1,0
Sangrur,2019-12-14,2020-01-03,21,0,1,0
Sangrur,2020-01-14,2020-03-03,50,0,0,0
Sangrur,2020-03-06,2020-03-20,15,0,0,0
Sangrur,2020-03-28,2020-05-02,36,0,0,0
Sangrur,2020-05-15,2020-05-27,13,0,0,0
Sangrur,2020-06-01,2020-06-05,5,1,0,0
Sangrur,2020-06-07,2020-06-20,14,1,0,0
Sangrur,2020-06-26,2020-07-03,8,1,0,0
Sangrur,2020-08-21,2020-08-25,5,1,0,0
Sangrur,2020-09-07,2020-09-14,8,1,0,0
Sangrur,2020-09-27,2020-11-14,49,1,0,0
Sangrur,2020-11-16,2021-03-11,116,0,0,0
Sangrur,2021-03-13,2021-03-20,8,0,0,1
Sangrur,2021-03-24,2021-04-11,19,0,0,1
Sangrur,2021-04-24,2021-04-28,5,0,0,1
Sangrur,2021-05-01,2021-05-05,5,0,0,1
Sangrur,2021-05-11,2021-05-28,18,0,0,1
Sangrur,2021-06-01,2021-06-05,5,1,0,1
Sangrur,2021-06-07,2021-06-11,5,1,0,1
Sangrur,2021-06-16,2021-07-02,17,1,0,1
Sangrur,2021-07-06,2021-07-10,5,1,0,1
Sangrur,2021-08-06,2021-08-19,14,1,0,1
Sangrur,2021-08-23,2021-08-30,8,1,0,1
Sangrur,2021-09-24,2021-09-29,6,1,0,1
Sangrur,2021-10-07,2021-10-22,16,0,0,1
Sangrur,2021-10-24,2021-12-04,42,0,0,1
Sangrur,2021-12-06,2022-01-03,29,0,0,1
Sangrur,2022-01-06,2022-05-20,135,0,0,1
Sangrur,2022-05-29,2022-06-29,32,0,0,1
Sangrur,2022-08-18,2022-08-27,10,1,0,1
Sangrur,2022-10-02,2022-10-07,6,0,0,1
Sangrur,2022-10-12,2023-03-16,156,0,0,1
Sangrur,2023-03-21,2023-03-31,11,0,0,1
Sangrur,2023-04-02,2023-04-18,17,0,0,1
Sangrur,2023-04-21,2023-04-30,10,0,0,1
Sangrur,2023-05-06,2023-05-15,10,0,0,1
Sangrur,2023-06-11,2023-06-24,14,1,0,1
Sangrur,2023-08-06,2023-08-15,10,1,0,1
Sangrur,2023-08-29,2023-09-04,7,1,0,1
Sangrur,2023-09-27,2023-10-08,12,1,0,1
Sangrur,2023-10-17,2023-11-26,41,0,0,1
Sangrur,2023-12-01,2024-02-10,72,0,0,1
Sangrur,2024-02-16,2024-02-26,11,0,0,1
Sangrur,2024-03-03,2024-03-28,26,0,0,1
Sangrur,2024-03-31,2024-04-12,13,0,0,1
Sangrur,2024-04-16,2024-05-03,18,0,0,1
Sangrur,2024-05-11,2024-06-30,51,0,0,1
Sangrur,2024-08-06,2024-08-10,5,1,0,1
Sangrur,2024-09-20,2024-09-24,5,1,0,1
Sangrur,2024-09-27,2024-10-04,8,1,0,1
Sangrur,2024-10-07,2024-12-26,81,0,0,1
Sangrur,2024-12-28,2025-01-04,8,0,0,1
Sangrur,2025-01-06,2025-02-18,44,0,0,1
Sangrur,2025-03-01,2025-03-12,12,0,0,1
Sangrur,2025-03-16,2025-04-10,26,0,0,1
Sangrur,2025-04-13,2025-05-01,19,0,0,1
Sangrur,2025-05-06,2025-05-24,19,0,0,1
Sangrur,2025-05-26,2025-06-12,18,0,0,1
Sangrur,2025-06-16,2025-06-20,5,1,0,1
Sangrur,2025-09-22,2025-09-28,7,1,0,1
Sangrur,2025-10-08,2025-12-31,85,0,0,1
Sunam,2010-01-01,2010-02-07,38,0,1,0
Sunam,2010-02-10,2010-02-21,12,0,1,0
Sunam,2010-02-24,2010-04-26,62,0,1,0
Sunam,2010-05-01,2010-05-06,6,0,1,0
Sunam,2010-05-08,2010-06-06,30,0,1,0
Sunam,2010-06-08,2010-06-23,16,1,1,0
Sunam,2010-06-26,2010-07-03,8,1,1,0
Sunam,2010-09-25,2010-10-03,9,1,1,0
Sunam,2010-10-05,2010-10-09,5,0,1,0
Sunam,2010-10-12,2010-12-28,78,0,1,0
Sunam,2010-12-31,2011-02-06,38,0,1,0
Sunam,2011-02-08,2011-02-15,8,0,1,0
Sunam,2011-02-26,2011-03-31,34,0,1,0
Sunam,2011-04-03,2011-04-16,14,0,1,0
Sunam,2011-04-18,2011-05-20,33,0,1,0
Sunam,2011-05-30,2011-06-05,7,0,1,0
Sunam,2011-06-13,2011-06-20,8,1,1,0
Sunam,2011-08-01,2011-08-05,5,1,1,0
Sunam,2011-10-02,2011-10-07,6,0,1,0
Sunam,2011-10-09,2012-02-19,134,0,1,0
Sunam,2012-02-21,2012-03-25,34,0,1,0
Sunam,2012-03-27,2012-04-08,13,0,1,0
Sunam,2012-04-21,2012-05-06,16,0,1,0
Sunam,2012-05-09,2012-07-06,59,0,1,0
Sunam,2012-10-01,2012-10-09,9,0,1,0
Sunam,2012-10-24,2012-12-10,48,0,1,0
Sunam,2012-12-14,2013-01-15,33,0,1,0
Sunam,2013-01-19,2013-02-02,15,0,1,0
Sunam,2013-02-06,2013-02-14,9,0,1,0
Sunam,2013-02-24,2013-03-12,17,0,1,0
Sunam,2013-03-15,2013-03-22,8,0,1,0
Sunam,2013-03-31,2013-04-15,16,0,1,0
Sunam,2013-04-17,2013-06-06,51,0,1,0
Sunam,2013-06-16,2013-06-30,15,1,1,0
Sunam,2013-08-22,2013-08-31,10,1,1,0
Sunam,2013-10-05,2013-10-09,5,0,1,0
Sunam,2013-10-13,2013-10-31,19,0,1,0
Sunam,2013-11-02,2014-01-16,76,0,1,0
Sunam,2014-01-23,2014-01-31,9,0,1,0
Sunam,2014-02-06,2014-03-08,31,0,1,0
Sunam,2014-03-11,2014-03-22,12,0,1,0
Sunam,2014-03-29,2014-04-11,14,0,1,0
Sunam,2014-04-20,2014-05-03,14,0,1,0
Sunam,2014-05-06,2014-05-10,5,0,1,0
Sunam,2014-05-13,2014-05-22,10,0,1,0
Sunam,2014-06-02,2014-06-30,29,1,1,0
Sunam,2014-07-07,2014-07-12,6,1,1,0
Sunam,2014-08-06,2014-08-15,10,1,1,0
Sunam,2014-08-17,2014-08-26,10,1,1,0
Sunam,2014-09-22,2014-09-29,8,1,1,0
Sunam,2014-10-02,2014-10-06,5,0,1,0
Sunam,2014-10-15,2014-10-27,13,0,1,0
Sunam,2014-10-29,2014-12-12,45,0,1,0
Sunam,2014-12-15,2015-02-01,49,0,1,0
Sunam,2015-02-04,2015-02-23,20,0,1,0
Sunam,2015-03-09,2015-03-13,5,0,1,0
Sunam,2015-03-16,2015-03-28,13,0,1,0
Sunam,2015-04-05,2015-04-10,6,0,1,0
Sunam,2015-04-20,2015-05-05,16,0,1,0
Sunam,2015-05-19,2015-06-22,35,0,1,0
Sunam,2015-06-26,2015-07-05,10,1,1,0
Sunam,2015-08-25,2015-08-31,7,1,1,0
Sunam,2015-09-07,2015-09-14,8,1,1,0
Sunam,2015-09-28,2015-10-05,8,1,1,0
Sunam,2015-10-07,2015-10-13,7,0,1,0
Sunam,2015-10-15,2015-10-24,10,0,1,0
Sunam,2015-10-27,2015-12-09,44,0,1,0
Sunam,2015-12-11,2016-02-18,70,0,1,0
Sunam,2016-02-21,2016-03-04,13,0,1,0
Sunam,2016-03-06,2016-03-10,5,0,1,0
Sunam,2016-03-14,2016-04-03,21,0,1,0
Sunam,2016-04-05,2016-05-02,28,0,1,0
Sunam,2016-05-11,2016-05-20,10,0,1,0
Sunam,2016-05-31,2016-06-13,14,0,1,0
Sunam,2016-06-21,2016-06-25,5,1,1,0
Sunam,2016-07-19,2016-07-25,7,1,1,0
Sunam,2016-09-02,2016-09-06,5,1,1,0
Sunam,2016-09-25,2016-09-29,5,1,1,0
Sunam,2016-10-10,2017-01-24,107,0,1,0
Sunam,2017-01-27,2017-02-03,8,0,1,0
Sunam,2017-02-05,2017-03-09,33,0,1,0
Sunam,2017-03-11,2017-04-03,24,0,1,0
Sunam,2017-04-06,2017-05-15,40,0,1,0
Sunam,2017-05-17,2017-05-30,14,0,1,0
Sunam,2017-06-01,2017-06-06,6,1,1,0
Sunam,2017-06-09,2017-06-16,8,1,1,0
Sunam,2017-06-21,2017-06-25,5,1,1,0
Sunam,2017-07-01,2017-07-05,5,1,1,0
Sunam,2017-08-11,2017-08-18,8,1,1,0
Sunam,2017-09-08,2017-09-16,9,1,1,0
Sunam,2017-09-27,2017-11-30,65,1,1,0
Sunam,2017-12-06,2018-02-10,67,0,1,0
Sunam,2018-02-13,2018-04-05,52,0,1,0
Sunam,2018-04-11,2018-05-01,21,0,1,0
Sunam,2018-05-10,2018-06-04,26,0,1,0
Sunam,2018-06-11,2018-06-25,15,1,1,0
Sunam,2018-07-05,2018-07-11,7,1,1,0
Sunam,2018-10-04,2018-10-09,6,0,1,0
Sunam,2018-10-12,2018-11-25,45,0,1,0
Sunam,2018-12-01,2019-01-04,35,0,1,0
Sunam,2019-01-06,2019-01-11,6,0,1,0
Sunam,2019-01-13,2019-01-19,7,0,1,0
Sunam,2019-01-23,2019-01-30,8,0,1,0
Sunam,2019-02-01,2019-02-12,12,0,1,0
Sunam,2019-02-21,2019-02-25,5,0,1,0
Sunam,2019-03-05,2019-03-10,6,0,1,0
Sunam,2019-03-15,2019-03-19,5,0,1,0
Sunam,2019-03-21,2019-03-29,9,0,1,0
Sunam,2019-03-31,2019-04-12,13,0,1,0
Sunam,2019-04-18,2019-05-09,22,0,1,0
Sunam,2019-05-18,2019-05-22,5,0,1,0
Sunam,2019-05-25,2019-06-10,17,0,1,0
Sunam,2019-06-13,2019-06-30,18,1,1,0
Sunam,2019-08-06,2019-08-10,5,1,1,0
Sunam,2019-10-08,2019-11-06,30,0,1,0
Sunam,2019-11-08,2019-11-13,6,0,1,0
Sunam,2019-11-16,2019-11-25,10,0,1,0
Sunam,2019-11-28,2019-12-11,14,0,1,0
Sunam,2019-12-14,2020-01-05,23,0,1,0
Sunam,2020-01-09,2020-01-15,7,0,0,0
Sunam,2020-01-17,2020-03-03,47,0,0,0
Sunam,2020-03-06,2020-03-20,15,0,0,0
Sunam,2020-03-28,2020-05-02,36,0,0,0
Sunam,2020-05-15,2020-05-29,15,0,0,0
Sunam,2020-06-01,2020-06-05,5,1,0,0
Sunam,2020-06-11,2020-06-21,11,1,0,0
Sunam,2020-06-26,2020-07-03,8,1,0,0
Sunam,2020-08-21,2020-08-25,5,1,0,0
Sunam,2020-09-07,2020-09-16,10,1,0,0
Sunam,2020-09-27,2020-11-14,49,1,0,0
Sunam,2020-11-16,2021-03-11,116,0,0,0
Sunam,2021-03-13,2021-03-20,8,0,0,1
Sunam,2021-03-24,2021-04-12,20,0,0,1
Sunam,2021-04-24,2021-04-28,5,0,0,1
Sunam,2021-05-01,2021-05-05,5,0,0,1
Sunam,2021-05-11,2021-05-28,18,0,0,1
Sunam,2021-06-01,2021-06-05,5,1,0,1
Sunam,2021-06-07,2021-06-11,5,1,0,1
Sunam,2021-06-16,2021-07-02,17,1,0,1
Sunam,2021-07-06,2021-07-10,5,1,0,1
Sunam,2021-08-10,2021-08-19,10,1,0,1
Sunam,2021-08-23,2021-08-30,8,1,0,1
Sunam,2021-09-24,2021-09-29,6,1,0,1
Sunam,2021-10-07,2021-10-22,16,0,0,1
Sunam,2021-10-24,2021-12-04,42,0,0,1
Sunam,2021-12-06,2022-01-03,29,0,0,1
Sunam,2022-01-06,2022-05-22,137,0,0,1
Sunam,2022-05-29,2022-06-29,32,0,0,1
Sunam,2022-08-21,2022-08-29,9,1,0,1
Sunam,2022-09-04,2022-09-09,6,1,0,1
Sunam,2022-10-02,2022-10-07,6,0,0,1
Sunam,2022-10-12,2023-03-16,156,0,0,1
Sunam,2023-03-21,2023-03-31,11,0,0,1
Sunam,2023-04-02,2023-04-18,17,0,0,1
Sunam,2023-04-21,2023-04-30,10,0,0,1
Sunam,2023-05-06,2023-05-15,10,0,0,1
Sunam,2023-06-11,2023-06-24,14,1,0,1
Sunam,2023-06-27,2023-07-04,8,1,0,1
Sunam,2023-08-06,2023-08-15,10,1,0,1
Sunam,2023-08-29,2023-09-04,7,1,0,1
Sunam,2023-09-27,2023-10-08,12,1,0,1
Sunam,2023-10-17,2023-11-26,41,0,0,1
Sunam,2023-12-01,2024-01-30,61,0,0,1
Sunam,2024-02-01,2024-02-10,10,0,0,1
Sunam,2024-02-16,2024-02-26,11,0,0,1
Sunam,2024-03-03,2024-03-28,26,0,0,1
Sunam,2024-03-30,2024-04-12,14,0,0,1
Sunam,2024-04-16,2024-04-22,7,0,0,1
Sunam,2024-04-24,2024-05-03,10,0,0,1
Sunam,2024-05-05,2024-05-09,5,0,0,1
Sunam,2024-05-11,2024-06-30,51,0,0,1
Sunam,2024-08-06,2024-08-10,5,1,0,1
Sunam,2024-08-21,2024-08-25,5,1,0,1
Sunam,2024-09-20,2024-09-24,5,1,0,1
Sunam,2024-09-27,2024-10-04,8,1,0,1
Sunam,2024-10-07,2025-02-19,136,0,0,1
Sunam,2025-03-01,2025-03-12,12,0,0,1
Sunam,2025-03-16,2025-04-10,26,0,0,1
Sunam,2025-04-13,2025-05-01,19,0,0,1
Sunam,2025-05-06,2025-05-24,19,0,0,1
Sunam,2025-05-26,2025-06-12,18,0,0,1
Sunam,2025-06-16,2025-06-20,5,1,0,1
Sunam,2025-09-22,2025-09-28,7,1,0,1
Sunam,2025-09-30,2025-10-04,5,1,0,1
Sunam,2025-10-08,2025-12-31,85,0,0,1
